sprig_id,lat,long,route,stop_name
1,40.889248,-73.898583,1,242ND STREET - VAN CORTLAND PARK
2,40.884653,-73.900878,1,238TH STREET
3,40.878856,-73.904834,1,231ST STREET
4,40.874561,-73.909831,1,225TH STREET - MARBLE HILL
5,40.869444,-73.915279,1,215TH STREET - 10 AV
6,40.864621,-73.918822,1,207TH STREET - 10 AV
7,40.860531,-73.925536,1,DYCKMAN ST - 200 STREET
8,40.855225,-73.929412,1,191 STREET - ST NICHOLAS
9,40.849505,-73.933596,1,181 STREET - ST NICHOLAS
10,40.840556,-73.940133,1,168TH STREET- WASHINGTON HGTS
11,40.834041,-73.94489,1,157TH STREET
12,40.826551,-73.95036,1,145TH STREET
13,40.822008,-73.953676,1,137TH STREET - CITY COLLEGE
14,40.815581,-73.958372,1,125TH STREET
15,40.807722,-73.96411,1,116TH STREET - COLUMBIA UNIV
16,40.803967,-73.966847,1,110TH STREET - CATHEDRAL PKWY
17,40.799446,-73.968379,1,103RD STREET
18,40.793919,-73.972323,"1, 2, 3",96TH STREET
19,40.788644,-73.976218,"1, 2",86TH STREET
20,40.783934,-73.979917,"1, 2",79TH STREET
21,40.778453,-73.98197,"1, 2, 3",72ND STREET
22,40.77344,-73.982209,"1, 2",66TH STREET - LINCOLN CENTER
23,40.768247,-73.981929,"1, 2",59 ST COLUMBUS CIRCLE
24,40.761728,-73.983849,"1, 2",50TH STREET
25,40.75529,-73.987495,"1, 2, 3",42ND ST - TIMES SQ
26,40.750373,-73.991057,"1, 2, 3",34TH ST - PENN STA
27,40.747215,-73.993365,"1, 2",28TH STREET
28,40.744081,-73.995657,"1, 2",23RD STREET
29,40.74104,-73.997871,"1, 2",18TH STREET
30,40.737826,-74.000201,"1, 2, 3",14TH STREET
31,40.733422,-74.002906,"1, 2",CHRISTOPHER - SHERIDAN S
32,40.728251,-74.005367,"1, 2",HOUSTON STREET
33,40.722854,-74.006277,"1, 2",CANAL STREET
34,40.719318,-74.006886,"1, 2",FRANKLIN STREET
35,40.715478,-74.009266,"1, 2, 3",CHAMBERS STREET
36,40.710688,-74.011029,"N, R",CORTLANDT STREET
37,40.707513,-74.013783,1,RECTOR STREET
38,40.701411,-74.013205,,SOUTH FERRY - A LOOP
39,40.701542,-74.013506,1,SOUTH FERRY TERMINAL
40,40.903125,-73.85062,2,EAST 241ST STREET - WAKEFIELD
41,40.898379,-73.854376,"2, 5",EAST 238TH STREET - NEREID
42,40.893201,-73.857469,"2, 5",EAST 233RD STREET
43,40.888022,-73.860341,"2, 5",EAST 225TH STREET
44,40.883895,-73.862633,"2, 5",219TH STREET - WHITE PLAINS RD
45,40.87785,-73.866256,"2, 5",GUN HILL ROAD
46,40.871356,-73.867164,"2, 5",BURKE AVENUE
47,40.865462,-73.867352,"2, 5",ALLERTON AVE
48,40.857192,-73.867615,"2, 5",PELHAM PKWY - BRONX ZOO
49,40.848828,-73.868457,"2, 5",BRONX PARK EAST
50,40.841894,-73.873488,"2, 5",E 180TH STREET
51,40.840295,-73.880049,"2, 5",EAST TREMONT AVE - WEST FARMS SQ
52,40.837288,-73.887734,"2, 5",174TH STREET
53,40.829993,-73.891865,"2, 5",FREEMAN STREET
54,40.824073,-73.893064,"2, 5",SIMPSON STREET
55,40.822181,-73.896736,"2, 5",INTERVALE AVENUE
56,40.819585,-73.90177,"2, 5",PROSPECT AVENUE
57,40.81649,-73.907807,"2, 5",JACKSON AVE
58,40.816109,-73.917757,"2, 5",149TH ST - 3RD AVE
59,40.81841,-73.926718,"2, 5",149TH ST - GRAND CONCOURSE - LOWER LEVEL
60,40.814229,-73.94077,"2, 3",135 STREET
61,40.807745,-73.945502,"2, 3",125 STREET
62,40.802098,-73.949625,"2, 3",116 STREET
63,40.799075,-73.951822,"2, 3",110 STREET - CENTRAL PARK NORTH
64,40.713051,-74.008811,"2, 3",PARK PLACE
65,40.709416,-74.006571,"2, 3",FULTON STREET
66,40.706821,-74.0091,"2, 3",WALL - WILLIAM ST
67,40.697466,-73.993086,"2, 3",CLARK STREET
68,40.693219,-73.989998,"2, 3",BOROUGH HALL
69,40.690545,-73.985065,"2, 3",HOYT STREET - FULTON MALL
70,40.688246,-73.980492,"2, 3, 4, 5",NEVINS STREET
71,40.684359,-73.977666,"2, 3, 4, 5",ATLANTIC AVENUE - PACIFIC ST
72,40.680829,-73.975098,"2, 3, 4",BERGEN STREET
73,40.675235,-73.971046,"2, 3, 4",GRAND ARMY PLAZA
74,40.671987,-73.964375,"2, 3, 4",EASTERN PARKWAY - BROOKLYN MUSEUM
75,40.670682,-73.958131,"2, 3, 4, 5",FRANKLIN  AVE
76,40.667883,-73.950683,"2, 5",PRESIDENT STREET
77,40.662742,-73.95085,"2, 5",STERLING STREET
78,40.656652,-73.9502,"2, 5",WINTHROP STREET
79,40.650843,-73.949575,"2, 5",CHURCH  AVE
80,40.645098,-73.948959,"2, 5",BEVERLY ROAD
81,40.639967,-73.948411,"2, 5",NEWKIRK AVE
82,40.632836,-73.947642,"2, 5",FLATBUSH AVENUE - BROOKLYN COLLEGE
83,40.669847,-73.950466,"2, 3, 4, 5",NOSTRAND AVE
84,40.669399,-73.942161,"2, 3, 4, 5",KINGSTON AVE
85,40.668897,-73.932942,"2, 3, 4, 5",UTICA AVENUE - CROWN HEIGHTS
86,40.664717,-73.92261,"2, 3, 4, 5",SUTTER AVE - RUTLAND RD
87,40.661453,-73.916327,"2, 3, 4, 5",SARATOGA AVE
