stop_id,stop_name,stop_lat,stop_lon,location_type,parent_station
101,Van Cortlandt Park - 242 St,40.889248,-73.898583,1,
103,238 St,40.884667,-73.900870,1,
104,231 St,40.878856,-73.904834,1,
106,Marble Hill - 225 St,40.874561,-73.909831,1,
107,215 St,40.869444,-73.915279,1,
108,207 St,40.864621,-73.918822,1,
109,Dyckman St,40.860531,-73.925536,1,
110,191 St,40.855225,-73.929412,1,
111,181 St,40.849505,-73.933596,1,
112,168 St - Washington Hts,40.840556,-73.940133,1,
113,157 St,40.834041,-73.944890,1,
114,145 St,40.826551,-73.950360,1,
115,137 St - City College,40.822008,-73.953676,1,
116,125 St,40.815581,-73.958372,1,
117,116 St - Columbia University,40.807722,-73.964110,1,
118,Cathedral Pkwy,40.803967,-73.966847,1,
119,103 St,40.799446,-73.968379,1,
120,96 St,40.793919,-73.972323,1,
121,86 St,40.788644,-73.976218,1,
122,79 St,40.783934,-73.979917,1,
123,72 St,40.778453,-73.981970,1,
124,66 St - Lincoln Center,40.773440,-73.982209,1,
125,59 St - Columbus Circle,40.768247,-73.981929,1,
126,50 St,40.761728,-73.983849,1,
127,Times Sq - 42 St,40.755290,-73.987495,1,
128,34 St - Penn Station,40.750373,-73.991057,1,
129,28 St,40.747215,-73.993365,1,
130,23 St,40.744081,-73.995657,1,
131,18 St,40.741040,-73.997871,1,
132,14 St,40.737826,-74.000201,1,
133,Christopher St - Sheridan Sq,40.733422,-74.002906,1,
134,Houston St,40.728251,-74.005367,1,
135,Canal St,40.722854,-74.006277,1,
136,Franklin St,40.719318,-74.006886,1,
137,Chambers St,40.715478,-74.009266,1,
138,Cortlandt St,40.711835,-74.012188,1,
139,Rector St,40.707513,-74.013783,1,
140,South Ferry Loop,40.701411,-74.013205,1,
201,Wakefield - 241 St,40.903125,-73.850620,1,
204,Nereid Av,40.898379,-73.854376,1,
205,233 St,40.893193,-73.857473,1,
206,225 St,40.888022,-73.860341,1,
207,219 St,40.883895,-73.862633,1,
208,Gun Hill Rd,40.877850,-73.866256,1,
